name,year,certifi,time,Genre,Vote,Metascore,Rating
The Yinyang Master,(2021),No data,113 min,"Action, Adventure, Drama","1,916",No data,6.4
 Shadow and Bone,(2021– ),TV-14,52 min,"Action, Adventure, Drama","1,914",No data,8.4
 The Expanse,(2015– ),TV-14,51 min,"Drama, Mystery, Sci-Fi","1,910",No data,8.1
Wild Dog,(2021),TV-MA,145 min,"Action, Adventure, Crime","1,909",No data,6.3
Cinema Bandi,(2021),No data,98 min,"Comedy, Drama","1,905",No data,8.1
Coyote,(2021– ),TV-MA,290 min,"Crime, Drama, Thriller","1,903",No data,6.8
 Dracula,(2021– ),No data,No data,"Comedy, Drama","1,889",No data,9.6
 The Frog,(2020–2021),Not Rated,48 min,"Crime, Drama, Mystery","1,881",No data,8.0
Last Chance U: Basketball,(2021– ),TV-MA,No data,"Documentary, Sport","1,881",No data,8.4
 The Frog,(2020–2021),Not Rated,48 min,"Crime, Drama, Mystery","1,880",No data,7.6
Gibi,(2021– ),No data,30 min,Comedy,"1,878",No data,8.5
Mai Hero Boll Raha Hu,(2021– ),No data,No data,"Action, Thriller","1,870",No data,8.9
B.A. Pass 3,(2021),No data,136 min,"Drama, Romance","1,867",No data,8.1
